Energia;T_out;Press_mm_hg;RH_out;Windspeed;Tdewpoint
Média;6.59999999999999;733.5;92;7;5.29999999999999
Média;6.48333333333332;733.6;92;6.66666666666666;5.2
Pouca;6.36666666666666;733.7;92;6.33333333333333;5.09999999999999
Pouca;6.25;733.799999999999;92;6;5
Pouca;6.13333333333333;733.899999999999;92;5.66666666666666;4.9
Pouca;6.01666666666667;734;92;5.33333333333333;4.79999999999999
Pouca;5.9;734.1;92;5;4.7
Pouca;5.91666666666666;734.166666666666;91.8333333333333;5.16666666666666;4.68333333333333
Pouca;5.93333333333333;734.233333333333;91.6666666666667;5.33333333333333;4.66666666666666
Média;5.95;734.299999999999;91.5;5.5;4.65
Muita;5.96666666666667;734.366666666667;91.3333333333333;5.66666666666666;4.63333333333333
Muita;5.98333333333332;734.433333333333;91.1666666666667;5.83333333333333;4.61666666666666
Muita;6;734.5;91;6;4.59999999999999
Muita;6;734.616666666667;90.5;6;4.51666666666667
Média;6;734.733333333333;90;6;4.43333333333333
Média;6;734.85;89.5;6;4.34999999999999
Média;6;734.966666666667;89;6;4.26666666666667
Média;6;735.083333333333;88.5;6;4.18333333333333
Média;6;735.2;88;6;4.09999999999999
Média;6;735.233333333333;87.8333333333333;6;4.06666666666667
Média;6;735.266666666666;87.6666666666667;6;4.03333333333332
Muita;6;735.299999999999;87.5;6;4
Média;6;735.333333333333;87.3333333333333;6;3.96666666666666
Média;6;735.366666666667;87.1666666666667;6;3.93333333333333
Média;6;735.399999999999;87;6;3.89999999999999
Média;5.93333333333333;735.466666666667;87.1666666666667;6;3.86666666666666
Média;5.86666666666666;735.533333333332;87.3333333333333;6;3.83333333333332
Média;5.79999999999999;735.6;87.5;6;3.79999999999999
Média;5.73333333333332;735.666666666666;87.6666666666667;6;3.76666666666667
Média;5.66666666666666;735.733333333333;87.8333333333333;6;3.73333333333332
Média;5.59999999999999;735.799999999999;88;6;3.7
Muita;5.65;735.883333333332;87.8333333333333;6.16666666666666;3.71666666666666
Muita;5.7;735.966666666667;87.6666666666667;6.33333333333333;3.73333333333332
Muita;5.75;736.049999999999;87.5;6.5;3.75
Muita;5.79999999999999;736.133333333332;87.3333333333333;6.66666666666666;3.76666666666667
Média;5.84999999999999;736.216666666667;87.1666666666667;6.83333333333333;3.78333333333333
Média;5.9;736.299999999999;87;7;3.79999999999999
Média;5.79999999999999;736.399999999999;87.8333333333333;6.83333333333333;3.85
Média;5.7;736.5;88.6666666666667;6.66666666666666;3.89999999999999
Média;5.59999999999999;736.6;89.5;6.5;3.95
Média;5.5;736.7;90.3333333333333;6.33333333333333;4
Pouca;5.4;736.799999999999;91.1666666666667;6.16666666666666;4.04999999999999
Média;5.29999999999999;736.899999999999;92;6;4.09999999999999
Pouca;5.26666666666667;737;92;6;4.06666666666667
Pouca;5.23333333333332;737.1;92;6;4.03333333333332
Média;5.2;737.2;92;6;4
Muita;5.16666666666666;737.299999999999;92;6;3.96666666666666
Muita;5.13333333333333;737.399999999999;92;6;3.93333333333333
Muita;5.09999999999999;737.5;92;6;3.89999999999999
Muita;5.11666666666666;737.633333333332;92;5.83333333333333;3.91666666666667
Muita;5.13333333333333;737.766666666666;92;5.66666666666666;3.93333333333333
Média;5.15;737.899999999999;92;5.5;3.95
Média;5.16666666666666;738.033333333332;92;5.33333333333333;3.96666666666666
Média;5.18333333333333;738.166666666666;92;5.16666666666666;3.98333333333332
