dias;Appliances;lights;T1;RH_1;T2;RH_2;T3;RH_3;T4;RH_4;T5;RH_5;T6;RH_6;T7;RH_7;T8;RH_8;T9;RH_9;T_out;Press_mm_hg;RH_out;Windspeed;Visibility;Tdewpoint;rv1;rv2
Terca;60;30;19,89;47,60;19,20;44,79;19,79;44,73;19,00;45,57;17,17;55,20;7,03;84,26;17,20;41,63;18,20;48,90;17,03;45,53;6,60;733,50;92,00;7,00;63,00;5,30;13,28;13,28
Terca;60;30;19,89;46,69;19,20;44,72;19,79;44,79;19,00;45,99;17,17;55,20;6,83;84,06;17,20;41,56;18,20;48,86;17,07;45,56;6,48;733,60;92,00;6,67;59,17;5,20;18,61;18,61
Terca;50;30;19,89;46,30;19,20;44,63;19,79;44,93;18,93;45,89;17,17;55,09;6,56;83,16;17,20;41,43;18,20;48,73;17,00;45,50;6,37;733,70;92,00;6,33;55,33;5,10;28,64;28,64
Terca;50;40;19,89;46,07;19,20;44,59;19,79;45,00;18,89;45,72;17,17;55,09;6,43;83,42;17,13;41,29;18,10;48,59;17,00;45,40;6,25;733,80;92,00;6,00;51,50;5,00;45,41;45,41
Terca;60;40;19,89;46,33;19,20;44,53;19,79;45,00;18,89;45,53;17,20;55,09;6,37;84,89;17,20;41,23;18,10;48,59;17,00;45,40;6,13;733,90;92,00;5,67;47,67;4,90;10,08;10,08
Terca;50;40;19,89;46,03;19,20;44,50;19,79;44,93;18,89;45,73;17,13;55,03;6,30;85,77;17,13;41,26;18,10;48,59;17,00;45,29;6,02;734,00;92,00;5,33;43,83;4,80;44,92;44,92
Terca;60;50;19,89;45,77;19,20;44,50;19,79;44,90;18,89;45,79;17,10;54,97;6,26;86,09;17,13;41,20;18,10;48,59;17,00;45,29;5,90;734,10;92,00;5,00;40,00;4,70;47,23;47,23
Terca;60;50;19,86;45,56;19,20;44,50;19,73;44,90;18,89;45,86;17,10;54,90;6,19;86,42;17,10;41,20;18,10;48,59;17,00;45,29;5,92;734,17;91,83;5,17;40,00;4,68;33,04;33,04
Terca;60;40;19,79;45,60;19,20;44,43;19,73;44,79;18,89;45,79;17,17;55,00;6,12;87,23;17,17;41,40;18,10;48,59;17,00;45,29;5,93;734,23;91,67;5,33;40,00;4,67;31,46;31,46
Terca;70;40;19,86;46,09;19,23;44,40;19,79;44,86;18,89;46,10;17,10;55,00;6,19;87,63;17,20;41,50;18,10;48,59;17,00;45,29;5,95;734,30;91,50;5,50;40,00;4,65;3,09;3,09
Terca;230;70;19,93;45,86;19,36;44,40;19,79;44,90;18,89;46,43;17,10;55,00;6,19;87,87;17,25;42,72;18,10;48,59;17,00;45,29;5,97;734,37;91,33;5,67;40,00;4,63;10,30;10,30
Terca;580;60;20,07;46,40;19,43;44,40;19,79;44,83;19,00;46,43;17,10;55,00;6,12;87,99;17,53;44,26;18,07;48,63;16,89;45,29;5,98;734,43;91,17;5,83;40,00;4,62;8,83;8,83
Terca;430;50;20,13;48,00;19,57;44,40;19,89;44,90;19,00;46,36;17,10;55,09;6,12;88,59;17,82;45,49;18,07;48,56;16,96;45,29;6,00;734,50;91,00;6,00;40,00;4,60;34,35;34,35
Terca;250;40;20,26;52,73;19,73;45,10;19,89;45,49;19,00;47,22;17,10;55,16;6,07;88,22;17,96;46,16;18,03;48,67;16,89;45,33;6,00;734,62;90,50;6,00;40,00;4,52;19,21;19,21
Terca;100;10;20,43;55,89;19,86;45,83;20,03;47,53;19,00;48,70;17,10;55,50;5,90;88,16;17,96;45,53;18,10;49,19;16,89;45,34;6,00;734,73;90,00;6,00;40,00;4,43;38,49;38,49
Terca;100;10;20,57;53,89;20,03;46,76;20,10;48,47;19,00;48,49;17,15;56,04;5,80;88,37;17,89;44,93;18,15;49,20;16,89;45,33;6,00;734,85;89,50;6,00;40,00;4,35;24,88;24,88
Terca;90;10;20,73;52,66;20,17;47,22;20,20;48,53;18,93;48,16;17,17;56,49;5,73;88,16;17,76;44,27;18,23;49,63;16,89;45,29;6,00;734,97;89,00;6,00;40,00;4,27;35,88;35,88
Terca;70;30;20,86;53,66;20,20;47,06;20,20;48,45;18,89;47,96;17,20;56,93;5,53;87,30;17,70;43,73;18,36;50,03;16,89;45,29;6,00;735,08;88,50;6,00;40,00;4,18;49,60;49,60
Terca;80;30;20,89;51,19;20,20;46,33;20,20;48,19;18,96;48,63;17,20;57,06;5,33;86,76;17,67;43,16;18,53;50,20;16,89;45,20;6,00;735,20;88,00;6,00;40,00;4,10;19,00;19,00
Terca;140;40;20,89;49,80;20,20;46,03;20,17;47,63;19,03;49,50;17,59;70,73;5,33;87,46;17,60;42,69;18,67;50,26;16,89;45,20;6,00;735,23;87,83;6,00;40,00;4,07;38,87;38,87
Terca;120;20;20,89;48,43;20,20;45,72;20,17;47,30;19,18;49,95;18,07;79,00;5,47;87,53;17,60;42,33;18,73;50,23;16,89;45,13;6,00;735,27;87,67;6,00;40,00;4,03;46,74;46,74
Terca;190;40;20,96;47,63;20,26;45,53;20,20;47,03;19,26;49,70;17,67;79,73;5,50;86,96;17,53;42,07;18,86;50,29;16,89;45,13;6,00;735,30;87,50;6,00;40,00;4,00;10,61;10,61
